id,nombreInstitucion,codigoInstitucion,codigoCutComuna,nombreComuna,formaAudiencia,fechainicioAudienca,duracionMinutoAudiencia,codigoAudienciaInstitucion,lugarAudiencia,observacionesMateriaAudiencia,descripcionMateria,codigoActualDatasetRegistroPasivo,codigoPasivoInstitucion,nombrePasivoInstitucion,cargoNombrePasivo,nombrePasivo,apellidosPasivo,codigoNacionalidadIsoPasivo,fechaInicioPasivo,fechaTerminoPasivo,linkAudienciaReunionPasivo,linkViajesPasivo,linkDonativosPasivo,cargoFuncionPasivo,codigoActualDatasetRegistroActivo,codigoActualDatasetRegistroEntidadActivo,nombreActivo,apellidosActivo,documentoPaisActivo,codigoNacionalidadActivo,remuneradoActivo,nombreInstitucionActivo,codigoInstitucionActivo,rutActivo,codigoInternacionalActivo,nombreEntidadActivo,giroActivo,representanteActivo,naturalezaActivo,administradorActivo,tipoEntidadActivo
177598,CAMARA DE DIPUTADOS,nr006,13101,Santiago,Presencial,2015-06-15 21:00:00,45,AR1475,Santiago  Región Metropolitana de Santiago,Proyecto de ley Bernales  en contra de la violencia y en resguardo de la integridad física de los carabineros en actos de servicio.,Ninguna de las anteriores.,80189,NR006-SP108,CAMARA DE DIPUTADOS,Diputado,Jaime,Bellolio Avaria,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=108&parid=970,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=108,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=108,Diputado,442289,,LUIS ARTURO,GARCIA TORRES,CHL,CHL,0,,,,,,,,,,
177603,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2015-06-16 16:30:00,45,AR1505,Valparaíso  Región de Valparaíso,Aprobación en la Comisión de Constitución  Legislación  Justicia y Reglamento  del Proyecto que fortalece el Ministerio Publico,Ninguna de las anteriores.,80281,NR006-SP045,CAMARA DE DIPUTADOS,Diputado,Ernesto,Silva Méndez,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=45&parid=954,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=45,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=45,Diputado,442304,,Rodrigo,Obreque Echeverría,CHL,CHL,0,,,,,,,,,,
177604,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2015-06-16 18:15:00,30,AR1612,Valparaíso  Región de Valparaíso,Estudio sobre imagen y posicionamiento de ENAP.  ,Ninguna de las anteriores.,80257,NR006-SP010,CAMARA DE DIPUTADOS,Diputado,José Miguel,Ortiz Novoa,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=10&parid=879,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=10,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=10,Diputado,442305,,Loreto Beatriz,Henríquez Díaz,CHL,CHL,1,,,,,,,,,,
177605,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2015-06-16 19:00:00,60,AR1474,Valparaíso  Región de Valparaíso,Proyecto de ley de carrera docente.,Ninguna de las anteriores.,80221,NR006-SP064,CAMARA DE DIPUTADOS,Diputado,Romilio,Gutiérrez Pino,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=64&parid=938,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=64,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=64,Diputado,442308,,Jorge Arturo,Schiappacasse Araya,CHL,CHL,0,,,,,,,,,,
177611,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2015-06-17 13:30:00,40,AR1466,Valparaíso  Región de Valparaíso,Proyecto de ley Bernales  en contra de la violencia y en resguardo de la integridad física de los carabineros en actos de servicio.,Ninguna de las anteriores.,80187,NR006-SP058,CAMARA DE DIPUTADOS,Diputado,Ramón,Barros Montero,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=58&parid=811,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=58,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=58,Diputado,442321,,LUIS ARTURO,GARCIA TORRES,CHL,CHL,0,,,,,,,,,,
177615,CAMARA DE DIPUTADOS,nr006,13101,Santiago,Presencial,2015-06-19 14:00:00,20,AR1458,Santiago  Región Metropolitana de Santiago,Proyecto de ley Bernales  en contra de la violencia y en resguardo de la integridad física de los carabineros en actos de servicio.,Ninguna de las anteriores.,80209,NR006-SP100,CAMARA DE DIPUTADOS,Diputado,Daniel,Farcas Guendelman,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=100&parid=980,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=100,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=100,Diputado,442338,,KARINA,MARIN LOPEZ,CHL,CHL,0,,,,,,,,,,
177618,CAMARA DE DIPUTADOS,nr006,8101,Concepción,Presencial,2015-06-22 14:00:00,60,AR1584,Concepción  Región del Biobío,Análisis Decreto 38 sobre Transporte Escolar.,Ninguna de las anteriores.,80258,NR006-SP073,CAMARA DE DIPUTADOS,Diputado,Clemira,Pacheco Rivas,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=73&parid=880,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=73,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=73,Diputado,442342,,Juan Eduardo,Rodriguez,CHL,CHL,1,,,,,,,,,,
179724,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2016-11-28 19:30:00,30,AR5206,pedro montt s/n,indicaciones del Senado y Comisión Mixta,Ninguna de las anteriores.,80265,NR006-SP095,CAMARA DE DIPUTADOS,Diputado,Yasna,Provoste Campillay,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=95&parid=998,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=95,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=95,Diputado,448717,,Mariana,Moraga Martínez,CHL,CHL,0,,,,,,,,,,
179727,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2016-11-29 19:30:00,45,AR5039,oficina 12  piso 12 camara  de diputados.,Se busca informar acerca de la posición de Uber respecto al proyecto que moderniza la legislación sobre transporte remunerado de pasajeros.,Ninguna de las anteriores.,80188,NR006-SP078,CAMARA DE DIPUTADOS,Diputado,Germán,Becker Alvear,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=78&parid=813,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=78,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=78,Diputado,448725,,Felipe,Barrueto Avalos  ,CHL,CHL,1,,,,,,,,,,
179729,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2016-11-30 15:30:00,60,AR5269,camara de diputados,Representantes pescadores artesanales octava región tema millas  reglamento arqueo de bodega de las embarcaciones 12-15 menores de 12 mts ,Ninguna de las anteriores.,80290,NR006-SP071,CAMARA DE DIPUTADOS,Diputado,Jorge,Ulloa Aguillón,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=71&parid=906,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=71,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=71,Diputado,448733,,maría ,torres,CHL,CHL,0,,,,,,,,,,
177624,CAMARA DE DIPUTADOS,nr006,10101,Puerto Montt,Presencial,2015-06-23 17:45:00,60,AR2127,oficina distrital ,Carrera Profesional Docente,Ninguna de las anteriores.,80289,NR006-SP013,CAMARA DE DIPUTADOS,Diputado,Marisol,Turres Figueroa,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=13&parid=905,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=13,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=13,Diputado,442359,,Fredy,Subiabre Perez,CHL,CHL,0,,,,,,,,,,
